Date,Open,High,Low,Close,Volume
2020-01-03,259.18,261.9,257.77,259,34484710
2020-01-06,259,259,254.8,256.55,28148270
2020-01-08,256.25,257.32,254.77,255.79,25611080
2020-01-09,255.69,256.68,251.82,254.07,33224310
2020-01-10,254,254.6,251.2,251.9,28567810
2020-01-13,252.5,252.5,248.4,251.5,41352670
2020-01-14,252,253.2,249,250,32936950
2020-01-15,249.5,252.5,247.75,251.3,43981200
2020-01-16,251.9,254.54,251.5,254.26,38437850
2020-01-17,254.75,256.6,253.8,255.39,42158800
2020-01-20,255.66,256.1,253.01,253.5,29970260
2020-01-21,253.25,253.4,250.88,252.99,27027840
2020-01-22,252.81,253.39,248.1,248.1,38885020
2020-01-23,246.71,247.66,239.01,239.3,73879000
2020-01-24,240.12,243.25,235.28,237.95,69052730
2020-01-27,235,235.4,229.65,230.96,105334120
2020-01-28,232.6,237.59,229,235,85537270
2020-01-29,236.95,237.36,231.3,232,52810870
2020-01-30,230.71,232.49,229.45,231.53,41538100
2020-01-31,232.53,233.79,226.57,226.7,70290180
2020-02-03,223.8,229.98,223.8,227.64,54239810
2020-02-04,228.49,231.08,226.65,230.5,45438970
2020-02-05,230.89,235.73,228.8,232.56,61997310
2020-02-06,234,236,230.15,231.38,42622260
2020-02-07,232.38,233.39,227.14,229.11,49942780
2020-02-10,228.5,229.75,224.41,225.2,50876040
2020-02-11,226.55,236.18,226.01,233.9,95633710
2020-02-12,235.3,239.8,234.56,238.03,83198650
2020-02-13,236.9,237.98,233.55,233.55,42016750
2020-02-14,233.79,235.4,230.91,232.5,34354000
2020-02-17,233.5,234.56,231.91,233.75,20559370
2020-02-18,233,233.28,229.8,230.5,30861790
2020-02-19,231.81,233.5,230.71,231.9,24431430
2020-02-20,232.51,235.75,232,234.6,33584770
2020-02-21,233.05,233.77,231.61,232,29658690
2020-02-25,228,230.06,224.68,224.68,52755480
2020-02-26,223.32,225.47,220.81,224.76,63752240
2020-02-27,220.99,223.4,216.8,217.5,83027740
2020-02-28,210,211.97,200.57,202.65,169597740
2020-03-02,208,211.99,195.51,198.78,151645690
2020-03-03,204.96,205.27,198,201.48,104454600
2020-03-04,199.95,204.42,198.28,200,78739260
2020-03-05,203,203.43,197.5,198,65974580
2020-03-06,193.5,194.23,185.13,188.27,131693770
2020-03-10,169.45,185.84,161.01,171,205229880
2020-03-11,174,175.87,167.39,172.03,108626860
2020-03-12,163,167.8,161.2,163.73,151374170
2020-03-13,164,175.69,164,166.1,143374770
2020-03-16,163,169.99,158.17,168.07,116002590
2020-03-17,169,175.5,164.56,167,108151410
2020-03-18,164.9,170.45,162,166.34,106165420
2020-03-19,168.58,175.2,164.05,174.56,122161140
2020-03-20,180,184.69,176.1,176.26,139849740
2020-03-23,171,172.28,168.04,168.35,109203830
2020-03-24,174.39,179.99,172.61,177.95,89479940
2020-03-25,183,186.9,175.26,180.2,114693850
2020-03-26,179.45,184.9,177.28,181.5,54021680
2020-03-27,181.24,181.37,172,174.5,55620780
2020-03-30,171.99,177.63,170.5,176.44,47976360
2020-03-31,178.5,184.64,178.01,181.41,69815770
2020-04-01,178.03,181.38,177.5,180.06,40436820
2020-04-02,183.8,190,180.25,187.04,87825820
2020-04-03,187.01,193.85,185.72,189.77,92363620
2020-04-06,192.24,193.44,189.44,191.1,62933570
2020-04-07,192.9,195.13,189.8,191.22,67000260
2020-04-08,189.7,194.11,188.1,194.11,49266950
2020-04-09,195.69,196.26,189.88,193.86,84342040
2020-04-10,191.89,192.44,190.51,192,17045220
2020-04-13,192.26,192.36,186.07,188.07,28546290
2020-04-14,189.73,191.76,188.3,190.11,50623330
2020-04-15,189.15,189.48,182.56,184.25,53713660
