Date,Open,High,Low,Close,Volume
2019-01-03,154.13,157.3,154.11,156.28,14178500
2019-01-04,156.71,159.15,156.71,159.15,14563370
2019-01-08,158.75,158.94,156.55,158.26,17041340
2019-01-09,158.88,160.4,158.4,160.24,19149630
2019-01-10,159.75,160.2,157.56,160.2,19950220
2019-01-11,160.2,161.13,159.8,161,17607210
2019-01-14,159.7,160.75,159.2,160.48,12593250
2019-01-15,160.97,161.5,157.35,158.15,20870220
2019-01-16,158.5,158.75,155.8,156.9,20866610
2019-01-17,157.4,157.4,155.6,157.1,16244460
2019-01-18,158.16,159.2,157.43,159.2,18270390
2019-01-21,159.02,160.07,158.01,158.3,11919340
2019-01-22,157.86,158.5,156.57,158.5,18842130
2019-01-23,158.24,159.9,158.02,159.9,14567930
2019-01-24,159.78,162.78,158.86,160.9,35655300
2019-01-25,161.61,162.82,160.18,162.82,19765260
2019-01-28,162.4,163.58,159.82,160.56,23896920
2019-01-29,160.1,162.98,159,162.95,22819740
2019-01-30,162.51,165.84,162.26,165.4,25112890
2019-01-31,166,166.49,162.55,162.82,30703160
2019-02-01,162.49,164.37,161.75,163.33,23094500
2019-02-04,163.49,165,162.81,163.2,11463210
2019-02-05,163.45,165.43,162.54,164.25,13709520
2019-02-06,164.41,164.67,163.07,163.21,9553310
2019-02-07,162.89,163.44,159.1,160.39,23537340
2019-02-08,159.16,161.36,158.11,159.8,19420820
2019-02-11,160.4,162.3,160.18,161.29,19127420
2019-02-12,161.5,163.68,160.75,163.68,14992630
2019-02-13,164,164.28,159.27,159.27,22006440
2019-02-14,157.35,158.74,155.15,155.15,38381690
2019-02-15,155.99,159.04,155.89,159.04,24570310
2019-02-18,159.25,159.9,156.14,156.43,17780780
2019-02-19,156.41,157.14,153.36,154.03,20054660
2019-02-20,154.65,155.66,153.67,154.43,21149620
2019-02-21,154.84,155.41,153.01,153.5,15215880
2019-02-22,153.51,155.65,153.49,154.64,13198300
2019-02-25,155.01,155.37,153.56,154.6,14809350
2019-02-26,153.95,155.36,152.82,155.36,18295430
2019-02-27,155.7,157.15,154.82,156.4,19720690
2019-02-28,156.22,159.25,156.02,158.99,34679960
2019-03-01,158.92,159.55,156.31,156.71,21894710
2019-03-04,156.75,156.76,154.4,154.4,17198890
2019-03-05,154.05,154.65,153.11,153.2,20125620
2019-03-06,153.31,154.45,153.07,154.2,17139850
2019-03-07,154.01,154.19,151.58,151.9,19671250
2019-03-11,151.9,152.47,150.51,151.6,19515830
2019-03-12,152.24,152.95,150.84,151.64,15491920
2019-03-13,151.1,153.3,150.66,153.3,18551950
2019-03-14,153.39,154.4,152.53,152.68,19960690
